label,c1,c2,h2,intensity
peak185,24.580,24.581,0.748,63947016
peak186,23.829,24.580,0.747,31599582
peak187,20.426,20.426,1.380,39625648
peak188,20.228,20.423,1.381,9832557
peak189,19.469,20.426,1.380,3305210
peak190,13.042,13.042,-0.572,25230832
peak191,22.580,13.044,-0.573,6189504
peak192,25.414,13.046,-0.573,6626003
peak193,25.949,13.042,-0.572,7594940
peak194,20.915,13.048,-0.575,4503146
peak195,19.912,13.042,-0.572,2763077
peak196,26.300,13.042,-0.572,1455462
peak197,19.070,19.070,1.431,50016100
peak198,19.221,19.071,1.432,10051843
peak199,18.740,18.740,1.417,173576368
peak200,21.034,18.744,1.411,2599288
peak201,20.671,18.746,1.414,3717432
peak202,22.604,18.740,1.411,1873071
peak203,17.795,17.795,1.471,14883619
peak204,19.331,17.793,1.472,2043233
peak205,17.886,17.886,1.554,12327649
peak206,17.179,17.179,1.325,37229504
peak207,26.300,17.175,1.323,2039056
peak208,23.575,17.172,1.323,8492247
peak209,25.686,17.179,1.325,1933683
peak210,19.221,19.221,1.623,14131755
peak211,19.070,19.223,1.620,10323493
peak212,25.515,25.515,0.218,3573485
peak213,26.694,25.516,0.215,718782
peak214,24.329,25.516,0.215,598296
peak215,23.014,25.515,0.218,3650152
peak216,20.609,25.516,0.221,1405540
peak217,22.266,25.515,0.218,2215988
peak218,24.434,24.434,0.034,4110625
peak219,27.603,24.433,0.033,1269520
peak220,20.779,24.433,0.033,969259
peak221,16.829,24.434,0.034,671176
peak222,23.125,24.430,0.032,1495863
peak223,27.244,24.434,0.034,576422
peak224,22.832,24.431,0.034,1506344
peak225,22.580,22.580,1.126,6608850
peak226,25.693,22.584,1.125,1721366
peak227,23.919,22.586,1.126,770024
peak228,13.042,22.583,1.123,5052522
peak229,25.414,22.587,1.126,4546364
peak230,25.949,22.581,1.125,4078120
peak231,20.915,22.580,1.125,1780824
peak232,19.912,22.582,1.127,1342097
peak233,26.300,22.581,1.122,301880
peak234,25.686,22.580,1.126,1381601
peak235,24.861,22.581,1.127,1006898
peak236,22.266,22.266,1.121,8995382
peak237,26.694,22.266,1.122,1219741
peak238,24.329,22.265,1.119,2466178
peak239,25.515,22.266,1.121,1866157
peak240,23.014,22.263,1.119,1260296
peak241,20.609,22.264,1.121,3904168
peak242,22.040,22.040,1.093,16170729
peak243,22.489,22.041,1.092,4282571
peak244,18.807,22.040,1.092,826277
peak245,23.509,22.046,1.093,6700298
peak246,23.962,22.043,1.095,655564
peak247,27.789,22.040,1.093,626028
peak248,17.397,17.397,1.042,7256449
peak249,23.014,17.394,1.041,256997
peak250,19.469,17.397,1.041,812393
peak251,19.383,19.383,1.355,61680084
peak252,20.915,20.915,0.585,9275378
peak253,22.580,20.912,0.583,1972327
peak254,13.042,20.913,0.583,4233719
peak255,25.414,20.915,0.585,3454916
peak256,25.949,20.916,0.585,5119320
peak257,19.912,20.915,0.586,5178472
peak258,26.300,20.914,0.587,2227986
peak259,23.575,20.913,0.585,1565052
peak260,25.686,20.915,0.584,2691877
peak261,23.755,20.915,0.585,1533359
peak262,24.861,20.915,0.584,2433364
peak263,25.088,20.915,0.585,1101103
peak264,21.178,21.178,0.598,27433976
peak265,21.034,21.175,0.593,33581096
peak266,20.671,21.176,0.596,9965336
peak267,22.604,21.177,0.596,2359054
peak268,19.217,21.178,0.598,1861331
peak269,21.008,21.173,0.595,33581096
peak270,20.681,21.172,0.598,9965336
peak271,18.401,21.178,0.598,2407166
peak272,21.034,21.008,0.776,66325012
peak273,20.671,21.002,0.773,12366506
peak274,22.604,21.001,0.773,928631
peak275,24.473,21.008,0.776,1224470
peak276,19.394,21.005,0.779,1535534
peak277,19.217,21.008,0.779,3595730
peak278,21.178,21.004,0.776,18268612
peak279,18.401,21.008,0.776,1796124
peak280,23.647,23.647,1.069,21117466
peak281,17.081,23.644,1.066,7731280
peak282,20.005,23.645,1.065,183367
peak283,15.830,23.647,1.069,796275
peak284,24.329,24.329,1.122,6832764
peak285,20.734,24.324,1.123,1124123
peak286,20.992,24.327,1.122,626848
peak287,26.694,24.329,1.125,4506286
peak288,25.515,24.324,1.124,984282
peak289,20.609,24.329,1.125,1797467
peak290,22.266,24.322,1.122,2497808
peak291,19.331,19.331,1.545,8590856
peak292,17.795,19.335,1.543,1745398
peak293,20.779,19.331,1.542,750015
peak294,23.192,19.330,1.545,2012391
peak295,19.973,19.973,1.361,2358882
peak296,23.919,19.973,1.361,40691
peak297,26.694,26.694,0.983,16425971
peak298,20.734,26.692,0.983,1994656
peak299,20.992,26.694,0.982,840268
peak300,24.329,26.693,0.982,6077724
peak301,25.515,26.694,0.983,271036
peak302,20.609,26.694,0.983,2737990
peak303,22.266,26.694,0.982,1583484
peak304,21.011,21.011,-0.313,11251042
peak305,25.094,21.016,-0.316,913000
peak306,17.057,21.011,-0.316,5199321
peak307,20.681,20.681,-0.363,7389190
peak308,22.604,20.684,-0.363,1462763
peak309,25.954,20.681,-0.367,3138816
peak310,24.049,20.679,-0.367,1480479
peak311,19.217,20.681,-0.363,4333528
peak312,21.178,20.680,-0.371,1593969
peak313,18.401,20.681,-0.363,4655046
peak314,20.149,20.149,-0.320,4516992
peak315,27.603,20.149,-0.321,2462550
peak316,27.111,20.145,-0.322,1417722
peak317,22.800,20.149,-0.320,1388504
peak318,16.829,20.143,-0.325,1984078
peak319,24.434,20.142,-0.325,658324
peak320,23.125,20.149,-0.320,710311
peak321,27.244,20.149,-0.320,1380746
peak322,22.832,22.832,1.323,8565282
peak323,27.603,22.831,1.327,1299841
