label,c1,c2,h2,short_range,intensity
peak486,23.639999,25.142000,0.851000,,6734912.000000
peak487,24.868000,25.141001,0.851000,,54131824.000000
peak489,22.580999,24.867001,0.778000,,2003054.000000
peak490,25.978001,24.867001,0.778000,,7989143.000000
peak491,20.972000,24.868000,0.777000,,5471814.000000
peak492,19.945000,24.865999,0.773000,x,14983724.000000
peak493,25.806999,24.868000,0.772000,,11189746.000000
peak494,23.639999,24.864000,0.777000,x,9148296.000000
peak495,25.142000,24.863001,0.777000,,54895944.000000
peak498,23.745001,24.620001,0.874000,,68554240.000000
peak499,24.573999,23.743999,0.821000,,79734960.000000
short_peak41,18.473000,22.230000,0.870000,x,11068893.000000
short_peak42,23.649000,22.231001,0.866000,x,5793546.000000
short_peak121,21.402000,14.242000,0.674000,x,11484327.000000
short_peak122,21.150999,14.247000,0.675000,x,8486818.000000
short_peak128,24.250999,25.952999,0.665000,x,14193356.000000
short_peak131,20.825001,25.965000,0.667000,x,6880234.000000
short_peak133,19.483999,25.954000,0.664000,x,3047434.000000
short_peak135,18.479000,25.952000,0.667000,x,4983500.000000
short_peak182,20.735001,19.507999,-0.286000,x,3619336.000000
short_peak184,25.951000,19.525000,-0.286000,x,2914998.000000
short_peak186,14.238000,21.138000,0.769000,x,5640576.000000
short_peak190,14.248000,21.417000,0.583000,x,6204514.000000
short_peak198,19.440001,20.754000,-0.320000,x,4071428.000000
